transaction_id,client_id,conversion_timestamp,revenue,first_click_source,first_click_medium,first_click_campaign,first_click_channel,last_click_source,last_click_medium,last_click_campaign,last_click_channel,touchpoint_count,days_to_convert,conversion_date
ORD-20250223-112,1740229091-LgTZGGMFMzzz,2025-02-23 12:54:35.166000+00:00,1449.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-23
ORD-20250225-246,1740235155-Iyyo-PYeYrfN,2025-02-25 13:28:11.878000+00:00,0.0,direct,none,,Direct,direct,none,,Direct,2,0,2025-02-25
ORD-20250224-102,1740239035-tdqLa5Lrkuy-,2025-02-24 01:05:06.086000+00:00,262.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-24
ORD-20250307-821,1740246936-TR7HRhn1o2cv,2025-03-07 00:01:52.293000+00:00,1149.0,320A94,9A780E,6520E7,Other,320A94,9A780E,6520E7,Other,1,0,2025-03-07
ORD-20250223-281,1740268999-k1PQxqt-fODp,2025-02-23 00:06:46.544000+00:00,245.0,AF630F,7B4C8A,,Other,AF630F,7B4C8A,,Other,1,0,2025-02-23
ORD-20250224-363,1740268999-k1PQxqt-fODp,2025-02-24 00:11:39.067000+00:00,245.0,AF630F,7B4C8A,,Other,direct,none,,Direct,2,1,2025-02-24
ORD-20250223-473,1740273313-tBmCvzjnRa1M,2025-02-23 01:57:54.532000+00:00,2128.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-23
ORD-20250223-236,1740274368-gufFljcekA4a,2025-02-23 22:55:28.267000+00:00,2599.0,direct,none,,Direct,affiliate,referral,,Affiliate,2,0,2025-02-23
ORD-20250223-402,1740280302-XHcA-M3fnqtc,2025-02-23 03:19:00.576000+00:00,245.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-23
ORD-20250223-339,1740280410-ag6Ycljew8aX,2025-02-23 03:34:08.434000+00:00,211.0,AF630F,7B4C8A,,Other,AF630F,7B4C8A,,Other,1,0,2025-02-23
ORD-20250223-648,1740283703-BeA3uOhllnoW,2025-02-23 21:40:22.505000+00:00,2549.0,google,cpc,google_ads,Paid Search,google,cpc,google_ads,Paid Search,3,0,2025-02-23
ORD-20250223-488,1740285929-kNhpxwGWo7u3,2025-02-23 04:51:22.948000+00:00,1599.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-23
ORD-20250308-137,1740307306-6_9iQAayRmHn,2025-03-08 14:33:36.124000+00:00,1449.0,738AA8,AE24AC,592CBE,Other,738AA8,AE24AC,592CBE,Other,1,0,2025-03-08
ORD-20250223-143,1740318134-170n169CRst0,2025-02-23 13:58:37.029000+00:00,2299.0,google,cpc,google_ads,Paid Search,google,cpc,google_ads,Paid Search,1,0,2025-02-23
ORD-20250223-496,1740319142-0cGR9mXrgY7a,2025-02-23 14:04:20.132000+00:00,499.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-23
ORD-20250223-235,1740322032-MGz2QlNnmLit,2025-02-23 14:48:43.525000+00:00,102.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-23
ORD-20250223-391,1740324475-gzFxid7EI98q,2025-02-23 22:13:14.482000+00:00,1449.0,direct,none,,Direct,direct,none,,Direct,2,0,2025-02-23
ORD-20250224-233,1740327276-e965nL-38xWN,2025-02-24 19:37:33.466000+00:00,799.0,175C1C,7B4C8A,EF8CFA,Other,175C1C,7B4C8A,EF8CFA,Other,3,1,2025-02-24
ORD-20250223-121,1740330024-fdYFQVY4vQpJ,2025-02-23 17:11:39.130000+00:00,245.0,26CAE7,76E084,29AC88,Other,26CAE7,76E084,29AC88,Other,1,0,2025-02-23
ORD-20250223-411,1740331321-r0oNQ2MSMJj1,2025-02-23 17:30:16.454000+00:00,1349.0,B49B20,9A780E,BFE74A,Other,B49B20,9A780E,BFE74A,Other,1,0,2025-02-23
